station_location,khrl,rh,date,hour_temp_taken
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",84,65,2023-04-22,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",69,93,2023-04-23,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",74,79,2023-04-24,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",76,97,2023-04-25,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",87,59,2023-04-26,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",80,85,2023-04-27,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",87,65,2023-04-28,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",82,25,2023-04-29,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,23,2023-04-30,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",88,45,2023-05-01,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",82,67,2023-05-02,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",85,68,2023-05-03,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",84,77,2023-05-04,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,63,2023-05-05,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,63,2023-05-06,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,58,2023-05-07,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",88,63,2023-05-08,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",87,70,2023-05-09,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,56,2023-05-10,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",92,60,2023-05-11,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,66,2023-05-12,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",75,84,2023-05-13,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",86,63,2023-05-14,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",82,60,2023-05-15,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",85,63,2023-05-16,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",80,71,2023-05-17,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",88,66,2023-05-18,14:59:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,63,2023-05-19,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",85,68,2023-05-20,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",85,68,2023-05-21,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,58,2023-05-22,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,59,2023-05-23,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",88,61,2023-05-24,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,53,2023-05-25,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,55,2023-05-26,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",86,63,2023-05-27,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",83,61,2023-05-28,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,61,2023-05-29,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",86,70,2023-05-30,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,57,2023-05-31,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",88,57,2023-06-01,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",88,61,2023-06-02,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,52,2023-06-03,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,44,2023-06-04,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",82,63,2023-06-05,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,59,2023-06-06,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",91,59,2023-06-07,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",92,56,2023-06-08,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",96,49,2023-06-09,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",94,51,2023-06-10,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",95,56,2023-06-11,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",94,58,2023-06-12,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",96,62,2023-06-13,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",95,58,2023-06-14,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",95,62,2023-06-15,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",96,60,2023-06-16,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",96,58,2023-06-17,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,53,2023-06-18,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",98,46,2023-06-19,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",100,41,2023-06-20,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",101,41,2023-06-21,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",96,52,2023-06-22,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,53,2023-06-23,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,46,2023-06-24,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",98,51,2023-06-25,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",98,45,2023-06-26,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",100,38,2023-06-27,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",96,44,2023-06-28,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",95,53,2023-06-29,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,48,2023-06-30,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,48,2023-07-01,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",98,43,2023-07-02,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,42,2023-07-03,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",98,46,2023-07-04,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,63,2023-07-05,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",78,97,2023-07-06,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,77,2023-07-07,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,49,2023-07-08,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,51,2023-07-09,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,53,2023-07-10,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,46,2023-07-11,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",96,54,2023-07-12,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,53,2023-07-13,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,48,2023-07-14,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",99,41,2023-07-15,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",100,35,2023-07-16,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",98,43,2023-07-17,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",100,38,2023-07-18,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",100,38,2023-07-19,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",100,38,2023-07-20,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",100,38,2023-07-21,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",98,40,2023-07-22,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",89,61,2023-07-23,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",90,70,2023-07-24,14:52:00
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",97,43,2023-07-25,14:52:00
