station_location,kskf,rh,date,hour_temp_taken
"SAN ANTONIO KELLY FIELD AFB, TX US",90,59,2023-06-14,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",95,56,2023-06-15,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",98,49,2023-06-16,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",94,57,2023-06-17,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,36,2023-06-18,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,42,2023-06-19,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,36,2023-06-20,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,36,2023-06-21,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",91,52,2023-06-22,14:58:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,37,2023-06-23,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",100,32,2023-06-24,14:59:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,40,2023-06-25,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,29,2023-06-26,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,29,2023-06-27,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,26,2023-06-28,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",98,32,2023-06-29,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",97,37,2023-06-30,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",98,38,2023-07-01,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",94,37,2023-07-02,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",93,41,2023-07-03,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",95,38,2023-07-04,14:57:00
"SAN ANTONIO KELLY FIELD AFB, TX US",91,52,2023-07-05,14:59:00
"SAN ANTONIO KELLY FIELD AFB, TX US",87,59,2023-07-06,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",84,70,2023-07-07,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",97,35,2023-07-08,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",99,34,2023-07-09,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",101,32,2023-07-10,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,33,2023-07-11,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,29,2023-07-12,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,26,2023-07-13,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",104,25,2023-07-14,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",103,24,2023-07-15,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,23,2023-07-16,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",102,21,2023-07-17,14:55:00
