station_location,klxy,rh,date,hour_temp_taken
"MEXIA LIMESTONE CO AIRPORT, TX US",89,63,2023-06-14,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",92,65,2023-06-15,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",95,58,2023-06-16,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,63,2023-06-17,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,56,2023-06-18,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,59,2023-06-19,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,57,2023-06-20,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",92,65,2023-06-21,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",88,70,2023-06-22,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",91,61,2023-06-23,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,47,2023-06-24,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,52,2023-06-25,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,48,2023-06-26,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",98,41,2023-06-27,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,43,2023-06-28,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,44,2023-06-29,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,41,2023-06-30,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,45,2023-07-01,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",91,54,2023-07-02,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,51,2023-07-03,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",94,49,2023-07-04,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",95,45,2023-07-05,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",92,53,2023-07-06,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",93,48,2023-07-07,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",96,43,2023-07-08,14:55:00
