station_location,kppa,rh,date,hour_temp_taken
"PERRY LEFORS FIELD AIRPORT, TX US",69,38,2023-04-27,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",56,52,2023-04-28,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,25,2023-04-29,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,25,2023-04-30,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,27,2023-05-01,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",77,38,2023-05-02,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",79,37,2023-05-03,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",78,52,2023-05-04,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",92,13,2023-05-05,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",89,13,2023-05-06,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",93,12,2023-05-07,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,32,2023-05-08,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",94,20,2023-05-09,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,34,2023-05-10,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,20,2023-05-11,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",84,26,2023-05-12,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",58,98,2023-05-13,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",66,86,2023-05-14,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",67,69,2023-05-15,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",78,45,2023-05-16,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",86,31,2023-05-17,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,71,2023-05-18,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",58,94,2023-05-19,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,43,2023-05-20,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",78,45,2023-05-21,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",74,66,2023-05-22,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,66,2023-05-23,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",79,50,2023-05-24,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,62,2023-05-25,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,63,2023-05-26,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",74,66,2023-05-27,14:55:00
